,Country,Type,Name,Date,Keywords
124,Slovakia,Legislation,Decree on the requirements to reduce emissions of volatile organic compounds due to the use of organic solvents in regulated products.,2010,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Environmental standards"
125,Slovenia,Legislation,Regulation on the limitation of emissions of volatile organic compounds due to the use of organic solvents in certain paints and varnishes and vehicle refinishing products.,2006,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Environmental standards"
126,South+Africa,Legislation,"National Environmental Management: Air Quality Act (39/2004): List of activities which result in atmospheric emissions which have or may have a significant detrimental effect on the environment, including health, social conditions, economic conditions, ecological conditions or cultural heritage (No. 893 of 2013).",2013,"Pollution control, Air quality/air pollution, Emissions, Monitoring, Enforcement/compliance, Environmental standards"
127,South+Africa,Legislation,"National Environmental Management: Air Quality Act, 2004 (Act No. 39 of 2004).",2005,"Air quality/air pollution, Pollution control, Emissions, Institution, Environmental planning, Enforcement/compliance, Offences/penalties, Basic legislation"
128,South+Africa,Legislation,National Environmental Management Act: Declaration of a small boiler as a controlled emitter and estblishment of emission standard (GN No. 831 of 2013).,2013,"Pollution control, Air quality/air pollution, Emissions, Monitoring, Data collection/reporting, Inspection, Environmental standards"
129,South+Africa,Legislation,Regulations Regarding Air Dispersion Modelling (No. R. 533 of 2014).,2014,"Pollution control, Air quality/air pollution, Emissions, Monitoring, Environmental standards"
130,Sri+Lanka,Legislation,"National Environmental (Air, Fuel and Vehicle Importation Standards) Regulations No 01 2003.",2003,"Air quality/air pollution, Certification, Emissions, International trade, Environmental standards, Pollution control"
131,Sri+Lanka,Legislation,"Regulations under Section 32 of the National Environmental Act, No. 47 of 1980.",2008,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, EIA"
132,Tajikistan,Legislation,Instruction on the implementation of state control for compliance with the maximum permissible rates of toxic vehicle emissions for vehicles in operation and charging and collection of environmental fees for air pollution.,1999,"Air quality/air pollution, Emissions, Environmental fees/charges, Offences/penalties, Legal proceedings/administrative proceedings, Enforcement/compliance, Pollution control"
133,Turkey,Legislation,Exhaust gas emission control regulation.,2009,"Emissions, Air quality/air pollution, Pollution control"
134,Turkey,Legislation,Regulation on exhaust gas emission control.,2017,"Emissions, Air quality/air pollution, Public health, Environmental standards, Pollution control"
135,Turkey,Legislation,Regulation on control of exhaust gas emission and quality of gasoline and diesel oil.,2013,"Emissions, Air quality/air pollution, Pollution control, Public health, Oil"
136,Turkey,Legislation,Air Pollution Instruction.,2004,"Air quality/air pollution, Ecofriendly products/ecofriendly processes, Emissions, Monitoring, Pollution control"
137,United+Kingdom,Legislation,Pollution Prevention and Control (Scotland) Amendment Regulations 2016 (S.S.I. No. 39 of 2016).,2016,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Legal proceedings/administrative proceedings, Authorization/permit, Inspection, Offences/penalties, Waste disposal, Hazardous waste, Ecofriendly products/ecofriendly processes, Waste management"
138,United+Kingdom,Legislation,Renewable Transport Fuels and Greenhouse Gas Emissions Regulations 2018 (S.I. No. 374 of 2018).,2018,"Air quality/air pollution, Emissions, Data collection/reporting, Emissions trading, Pollution control, Climate change, Biofuel"
139,United+Kingdom,Legislation,Pollution Prevention and Control (England and Wales) (Amendment) (Wales) Regulations 2006 (W.S.I. No. 2802 (W.241) of 2006).,2006,"Air quality/air pollution, Emissions, International agreement-implementation, Pollution control, Waste disposal, Waste management"
140,United+Kingdom,Legislation,Fluorinated Greenhouse Gases Regulations 2008 (S.I. No. 41 of 2008).,2008,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Offences/penalties"
141,United+Kingdom,Legislation,Pollution Prevention and Control (England and Wales) (Amendment) Regulations 2006 (S.I. No. 2311 of 2006).,2006,"Air quality/air pollution, Emissions, International agreement-implementation, Pollution control, Waste disposal, Waste management"
142,United+Kingdom,Legislation,Control of Volatile Organic Compounds (Petrol Vapour Recovery) (Scotland) Regulations 2011  (S.S.I. No. 418 of 2011).,2011,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
143,United+Kingdom,Legislation,Fluorinated Greenhouse Gases Regulations (Northern Ireland) 2009 (S.R. No. 184 of 2009).,2009,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Offences/penalties"
144,United+Kingdom,Legislation,Agricultural or Forestry Tractors (Emission of Gaseous and Particulate Pollutants) Regulations 2002 (S.I. No. No. 1891 of 2002).,2002,"Air quality/air pollution, Emissions, Offences/penalties, Environmental standards, Pollution control"
145,United+Kingdom,Legislation,Fluorinated Greenhouse Gases Regulations 2009 (S.I. No. 261 of 2009).,2009,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Offences/penalties"
146,United+Kingdom,Legislation,CRC Energy Efficiency Scheme Order 2013 (S.I. No. 1119 of 2013).,2013,"Climate change, Air quality/air pollution, Emissions, Registration, Environmental standards, Pollution control, Energy conservation/energy production, Offences/penalties"
147,United+Kingdom,Legislation,Pollution Prevention and Control (Scotland) Regulations 2012 (S.S.I. No. 360 of 2012).,2012,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Legal proceedings/administrative proceedings, Authorization/permit, Inspection, Offences/penalties, Waste disposal, Hazardous waste, Ecofriendly products/ecofriendly processes, Waste management"
148,United+Kingdom,Legislation,Pollution Prevention and Control (Industrial Emissions) Regulations (Northern Ireland) 2013 (S.R. No. 160 of 2013).,2013,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Legal proceedings/administrative proceedings, Authorization/permit, Inspection, Offences/penalties, Waste disposal, Hazardous waste, Ecofriendly products/ecofriendly processes, Waste management"
149,United+Kingdom,Legislation,Pollution Prevention and Control (Industrial Emissions) Regulations (Northern Ireland) 2012 (S.R. No. 453 of 2012).,2012,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Legal proceedings/administrative proceedings, Authorization/permit, Inspection, Offences/penalties, Waste disposal, Hazardous waste, Ecofriendly products/ecofriendly processes, Waste management"
150,United+Kingdom,Legislation,Agricultural or Forestry Tractors (Emission of Gaseous and Particulate Pollutants) (Amendment) Regulations 2013 (S.I. No. 3171 of 2013).,2013,"Air quality/air pollution, Emissions, Offences/penalties, Environmental standards, Pollution control"
151,United+Kingdom,Legislation,CRC Energy Efficiency Scheme Order 2010 (S.I. No. 768 of 2010).,2010,"Climate change, Air quality/air pollution, Emissions, Registration, Environmental standards, Pollution control, Energy conservation/energy production, Offences/penalties"
152,United+Kingdom,Legislation,Fluorinated Greenhouse Gases Regulations (Northern Ireland) 2015 (S.R. No. 425 of 2015).,2015,"Pollution control, Air quality/air pollution, Emissions, Ozone layer, Climate change, Enforcement/compliance, Offences/penalties, Hazardous substances, Data collection/reporting"
153,United+Kingdom,Legislation,Fluorinated Greenhouse Gases Regulations 2015 (S.I. No. 310 of 2015).,2014,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, International trade, Enforcement/compliance, Offences/penalties"
154,United+Kingdom,Legislation,Greenhouse Gas Emissions Trading Scheme (Amendment) Regulations 2006 (S.I. No. 737 of 2006).,2006,"Air quality/air pollution, Emissions, Monitoring, Data collection/reporting, International agreement-implementation, Environmental standards, Pollution control"
155,United+Kingdom,Legislation,Agricultural or Forestry Tractors (Emission of Gaseous and Particulate Pollutants) (Amendment) Regulations 2006 (S.I. No. No. 2393 of 2006).,2006,"Air quality/air pollution, Emissions, Offences/penalties, Environmental standards, Pollution control"
156,United+Kingdom,Legislation,Pollution Prevention and Control (Scotland) Amendment Regulations 2017 (S.S.I. No. 446 of 2017).,2017,"Air quality/air pollution, Emissions, Pollution control, Authorization/permit"
157,United+States+of+America,Legislation,Clean Air Act.,1990,"Air quality/air pollution, Basic legislation, Pollution control, Ozone layer, Climate change, Emissions, Monitoring, Environmental planning, Enforcement/compliance, Offences/penalties, Environmental standards"
158,Viet+Nam,Legislation,Circular No. 04/2012/TT-BTNMT stipulating criteria for identification of establishments causing environmental pollution or serious environmental pollution.,2012,"Pollution control, Classification/declassification, Air quality/air pollution, Emissions, Noise pollution, Soil pollution/quality, Freshwater quality/freshwater pollution, Effluent waste water/discharge"
159,Viet+Nam,Legislation,Decision No. 1393/QD-TTg approving the National Green Growth Strategy.,2012,"Ecofriendly products/ecofriendly processes, Ecological production/organic production, Energy conservation/energy production, Policy/planning, Renewable energy, Air quality/air pollution, Climate change, Environmental planning, Institution, Pollution control, Emissions"
160,Zimbabwe,Legislation,"Environment Management Act (Atmospheric Pollution Control) Regulations, 2009 (Cap. 20:27).",2009,"Air quality/air pollution, Emissions, Environmental fees/charges, Environmental standards, Monitoring, Inspection, Offences/penalties, Pollution control"
